outcome,cohen_dz,hedges_gz,rank_biserial_boot_ci_low,rank_biserial_boot_ci_high,rank_biserial
knowledge_total,0.48112187735496414,0.4645314677909999,0.5,1.0,0.8461538461538461
comfort_domain,1.9826615411916155,1.9142939018401806,0.7391304347826086,1.0,0.9130434782608695
attitude_domain,-0.005328084902279507,-0.005144357836683662,0.1,0.8823529411764706,0.5
